회사명,거래소코드,회계년도,회계감사법인,링크
에스케이케미칼(주),285130,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004303&dcmNo=6613958&eleId=4&offset=63802&length=488047&dtd=dart3.xsd
에스케이텔레콤(주),17670,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004425&dcmNo=6614687&eleId=4&offset=102309&length=447069&dtd=dart3.xsd
에스케이하이닉스(주),660,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401003957&dcmNo=6611963&eleId=4&offset=71516&length=415708&dtd=dart3.xsd
에쓰-오일(주),10950,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004049&dcmNo=6612498&eleId=4&offset=73582&length=368132&dtd=dart3.xsd
에이치디씨(주),12630,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004630&dcmNo=6615877&eleId=4&offset=89362&length=379271&dtd=dart3.xsd
에이치디씨현대산업개발(주),294870,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004227&dcmNo=6613539&eleId=4&offset=64141&length=243076&dtd=dart3.xsd
에이케이홀딩스(주),6840,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004433&dcmNo=6614721&eleId=4&offset=60092&length=241199&dtd=dart3.xsd
엔에이치투자증권(주),5940,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329002251&dcmNo=6587390&eleId=4&offset=103301&length=1187303&dtd=dart3.xsd
엘아이지넥스원(주),79550,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002321&dcmNo=6604891&eleId=4&offset=70261&length=367561&dtd=dart3.xsd
엘지디스플레이(주),34220,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004005&dcmNo=6612277&eleId=4&offset=75988&length=403210&dtd=dart3.xsd
엘지전자(주),66570,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004344&dcmNo=6614206&eleId=4&offset=77218&length=783877&dtd=dart3.xsd
영진약품(주),3520,18-Dec,안진회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002575&dcmNo=6605933&eleId=4&offset=59562&length=329252&dtd=dart3.xsd
일양약품(주),7570,18-Dec,신한회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401003542&dcmNo=6610060&eleId=4&offset=69045&length=329705&dtd=dart3.xsd
일진머티리얼즈(주),20150,18-Dec,대주회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329001031&dcmNo=6583851&eleId=4&offset=69710&length=321445&dtd=dart3.xsd
제이더블유중외제약(주),1060,18-Dec,안진회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004924&dcmNo=6617534&eleId=4&offset=77749&length=579717&dtd=dart3.xsd
제이더블유홀딩스(주),96760,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004657&dcmNo=6616067&eleId=4&offset=81796&length=373270&dtd=dart3.xsd
중소기업은행,24110,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004404&dcmNo=6614561&eleId=4&offset=76305&length=1168423&dtd=dart3.xsd
지에스건설(주),6360,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002616&dcmNo=6606115&eleId=4&offset=95978&length=773150&dtd=dart3.xsd
코스맥스(주),192820,18-Dec,삼덕회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002962&dcmNo=6607422&eleId=4&offset=67477&length=436297&dtd=dart3.xsd
코오롱인더스트리(주),120110,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401003379&dcmNo=6609275&eleId=4&offset=104190&length=475441&dtd=dart3.xsd
코웨이(주),21240,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401005004&dcmNo=6618009&eleId=4&offset=64686&length=439037&dtd=dart3.xsd
쿠쿠홀딩스(주),192400,18-Dec,안경회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002732&dcmNo=6606576&eleId=4&offset=63499&length=348209&dtd=dart3.xsd
태광산업(주),3240,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004723&dcmNo=6616444&eleId=4&offset=76419&length=395994&dtd=dart3.xsd
팬오션(주),28670,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190328002043&dcmNo=6580891&eleId=4&offset=60987&length=415821&dtd=dart3.xsd
하이트진로(주),80,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401001777&dcmNo=6602303&eleId=4&offset=68520&length=344490&dtd=dart3.xsd
한국가스공사(주),36460,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004174&dcmNo=6613236&eleId=4&offset=162125&length=841990&dtd=dart3.xsd
한국단자공업(주),25540,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329001399&dcmNo=6584914&eleId=4&offset=54341&length=274260&dtd=dart3.xsd
한국쉘석유(주),2960,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401001204&dcmNo=6599829&eleId=4&offset=63758&length=249853&dtd=dart3.xsd
한국전력공사(주),15760,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401001643&dcmNo=6601751&eleId=4&offset=86435&length=1132699&dtd=dart3.xsd
한국전력기술(주),52690,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002353&dcmNo=6605008&eleId=4&offset=87483&length=409485&dtd=dart3.xsd
한국콜마(주),161890,18-Dec,서현회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003108&dcmNo=6590475&eleId=8&offset=91299&length=408302&dtd=dart3.xsd
한국타이어(주),161390,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004884&dcmNo=6617295&eleId=4&offset=78498&length=506897&dtd=dart3.xsd
한국타이어월드와이드(주),240,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401005003&dcmNo=6617999&eleId=4&offset=68137&length=294990&dtd=dart3.xsd
한국투자금융지주(주),71050,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401003032&dcmNo=6607722&eleId=4&offset=58961&length=340850&dtd=dart3.xsd
한국항공우주산업(주),47810,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004416&dcmNo=6614630&eleId=4&offset=66121&length=407842&dtd=dart3.xsd
한미사이언스(주),8930,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003955&dcmNo=6593687&eleId=4&offset=102329&length=277731&dtd=dart3.xsd
한미약품(주),128940,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003969&dcmNo=6593749&eleId=4&offset=105891&length=416731&dtd=dart3.xsd
한세실업(주),105630,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003830&dcmNo=6593191&eleId=4&offset=69720&length=304349&dtd=dart3.xsd
한온시스템(주),18880,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003030&dcmNo=6590154&eleId=4&offset=75611&length=401334&dtd=dart3.xsd
한올바이오파마(주),9420,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002117&dcmNo=6603906&eleId=4&offset=70500&length=365458&dtd=dart3.xsd
한일홀딩스(주),3300,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004764&dcmNo=6616633&eleId=4&offset=68439&length=381761&dtd=dart3.xsd
한전케이피에스(주),51600,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401003853&dcmNo=6611509&eleId=4&offset=72776&length=389392&dtd=dart3.xsd
한화생명보험(주),88350,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401005054&dcmNo=6618262&eleId=4&offset=77435&length=612475&dtd=dart3.xsd
한화에어로스페이스(주),12450,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329003444&dcmNo=6591767&eleId=4&offset=73606&length=453772&dtd=dart3.xsd
한화케미칼(주),9830,18-Dec,안진회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190329004259&dcmNo=6594824&eleId=4&offset=69429&length=530039&dtd=dart3.xsd
현대건설(주),720,18-Dec,신한회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004695&dcmNo=6616280&eleId=4&offset=85526&length=563070&dtd=dart3.xsd
현대글로비스(주),86280,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004298&dcmNo=6613935&eleId=4&offset=64127&length=388169&dtd=dart3.xsd
현대로템(주),64350,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004553&dcmNo=6615465&eleId=4&offset=71602&length=445633&dtd=dart3.xsd
현대모비스(주),12330,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004112&dcmNo=6612876&eleId=4&offset=69636&length=413946&dtd=dart3.xsd
현대엘리베이터(주),17800,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004585&dcmNo=6615647&eleId=4&offset=67427&length=368364&dtd=dart3.xsd
현대위아(주),11210,18-Dec,한영회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004312&dcmNo=6614006&eleId=4&offset=75482&length=462690&dtd=dart3.xsd
현대자동차(주),5380,18-Dec,안진회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004132&dcmNo=6612981&eleId=4&offset=73072&length=485453&dtd=dart3.xsd
현대제철(주),4020,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004415&dcmNo=6614621&eleId=4&offset=76732&length=380992&dtd=dart3.xsd
현대중공업(주),9540,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004390&dcmNo=6614481&eleId=4&offset=87205&length=751996&dtd=dart3.xsd
현대중공업지주(주),267250,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004497&dcmNo=6615133&eleId=4&offset=61195&length=388956&dtd=dart3.xsd
현대해상화재보험(주),1450,18-Dec,삼일회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401004720&dcmNo=6616426&eleId=4&offset=91787&length=629403&dtd=dart3.xsd
효성중공업(주),298040,18-Dec,삼덕회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190325000699&dcmNo=6567574&eleId=4&offset=53794&length=336687&dtd=dart3.xsd
휴켐스(주),69260,18-Dec,삼정회계법인,http://dart.fss.or.kr/report/viewer.do?rcpNo=20190401002595&dcmNo=6606029&eleId=4&offset=88068&length=403061&dtd=dart3.xsd
